AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
1,tt0285351,according-to-jim,According_to_Jim/99165
3,tt0165598,that70sshow,That_70s_Show/224417
4,tt0248654,sixfeetunder,Six_pieds_sous_terre/163987
6,tt0284718,crossingjordan,Preuve_a_l_appui/201035
8,tt0187636,farscape,Farscape/178504
9,tt0262985,queerasfolk,Queer_as_Folk_US/5039
10,tt0283203,mutantx,Mutant_X/71234
11,tt0118276,buffy,Buffy_contre_les_vampires/133190
12,tt0312081,8simplerules,Touche_pas_a_mes_filles/46139
13,tt0310443,dinotopia,Dinotopia_La_Serie/80396
19,tt0320000,fastlane,Fastlane/153406
21,tt0303461,firefly,Firefly/121905
22,tt0320038,johndoe,John_Doe/240695
24,tt0313043,csimiami,Les_Experts_Miami/37441
25,tt0320022,hack,Hack/44067
28,tt0320970,still-standing,Une_Famille_presque_partaite/170038
29,tt0321021,withoutatrace,FBI_Portes_disparus/193009
30,tt0306414,thewire,Sur_ecoute/155448
33,tt0319960,boomtown,Boomtown/146570
38,tt0329934,sue-thomas-fbeye,Sue_Thomas_l_oeil_du_FBI/86427
41,tt0318252,thetwilightzone2002,The_Twilight_Zone_La_13eme_Dimension/279096
44,tt0318883,everwood,Everwood/168779
47,tt0321018,whatilikeaboutyou,Ce_que_j_aime_chez_toi/40204
48,tt0115083,7thheaven,7_a_la_maison/390592
49,tt0108778,friends,Friends/484823
50,tt0115167,everybodylovesraymond,Tout_le_monde_aime_Raymond/415392
51,tt0159206,sexandthecity,Sex_and_the_City/386064
52,tt0212671,malcolm,Malcolm/137855
53,tt0106004,frasier,Frasier/76735
54,tt0285341,the-bernie-mac-show,The_Bernie_Mac_Show/35297223
55,tt0200276,thewestwing,A_la_Maison_Blanche/368443
56,tt0286486,theshield,The_Shield/113797
57,tt0118437,thepractice,The_Practice_Bobby_Donnell_Associes/167021
58,tt0285331,24,24_Heures_Chrono/17019
60,tt0118300,dawsoncreek,Dawson/107235
61,tt0115341,sabrinatheteenagewitch1996,Sabrina_l_apprentie_sorciere/100114
62,tt0279600,smallville,Smallville/131697
63,tt0255734,groundedforlife,Parents_a_tout_prix/70965
64,tt0118480,stargatesg1,Stargate_SG_1/263459
65,tt0158552,charmed,Charmed/89465
66,tt0201391,roswell,Roswell/203045
67,tt0285333,alias,Alias/185372
68,tt0162065,angel,Angel/232391
69,tt0285332,the-agency,Espions_d_Etat/189701
71,tt0247081,bostonpublic,Boston_Public/140944
72,tt0098844,laworder,New_York_Police_Judiciaire/254266
73,tt0275140,lawordercriminalintent,New_York_Section_Criminelle/397649
74,tt0203259,laworderspecialvictimsunit,New_York_Unite_Speciale/458984
75,tt0141842,thesopranos,Les_Soprano/374603
76,tt0312172,monk,Monk/243429
77,tt0264235,curbyourenthusiasm,Larry_et_son_nombril/144786
78,tt0111945,the-drew-carey-show,The_Drew_Carey_Show/225390
80,tt0273855,mywifeandkids,Ma_famille_d_abord/278873
81,tt0106079,nypdblue,New_York_Police_Blues/3835
82,tt0247082,csi,Les_Experts/269970
83,tt0285370,the-guardian,Le_protecteur/453795
85,tt0112022,jag,JAG/228861
86,tt0209069,judging-amy,Amy/109267
87,tt0108968,touched-by-an-angel,Les_Anges_du_bonheur/223943
91,tt0275520,themindofthemarriedman,Le_Journal_intime_d_un_homme_marie/98384
92,tt0118421,oz,Oz/198281
93,tt0252019,strong-medicine,La_vie_avant_tout/253996
95,tt0247091,ed,Ed/77443
96,tt0108757,er,Urgences/195751
98,tt0285403,scrubs,Scrubs/222419
99,tt0197182,thirdwatch,New_York_911/316084
100,tt0157246,willandgrace,Will_Grace/236627
106,tt0248655,soul-food,Soul_Food_les_liens_du_sang/127720
107,tt0324681,adventure-inc,Aventure_et_associes/225877
109,tt0244365,startrekenterprise,Star_Trek_Enterprise/179254
113,tt0281432,thedeadzone,Dead_Zone/123428
114,tt0238784,gilmoregirls,Gilmore_Girls/179528
121 => 404 AlloCiné id
122,tt0365969,10-8,Sherifs_a_Los_Angeles/267235
125,tt0364823,karen-sisco,Karen_Sisco/210953
127 => 404 AlloCiné id
131,tt0368479,coldcase,Cold_Case_Affaires_classees/156721
132,tt0369179,twoandahalfmen,Mon_oncle_Charlie/5551
133,tt0364845,ncis,NCIS_Enquetes_speciales/69893
141,tt0367279,arresteddevelopment,Arrested_Development/213199
144,tt0364817,trucalling,Tru_Calling_Compte_a_rebours/231631
145,tt0362359,theoc,Newport_Beach/187431
147,tt0373474,missing,Missing_disparus_sans_laisser_de_trace/262452
153,tt0364828,lasvegas,Las_Vegas/279851
157,tt0362867,missmatch,Miss_Match/67851
160,tt0361217,niptuck,Nip_Tuck/25296
161,tt0327375,tremors,Tremors/472388
164,tt0367344,jake20,Jake_2_0/73188
170 => 404 AlloCiné id
